iter	Passed	Remaining
402	11786	2836
403	11808	2805
404	11831	2775
405	11852	2744
406	11874	2713
407	11897	2682
408	11919	2651
409	11941	2621
410	11963	2590
411	11985	2560
412	12007	2529
413	12029	2498
414	12052	2468
415	12074	2438
416	12096	2407
417	12118	2377
418	12147	2348
419	12170	2318
420	12192	2287
421	12214	2257
422	12236	2227
423	12259	2197
424	12280	2167
425	12302	2137
426	12325	2107
427	12347	2077
428	12371	2047
429	12393	2017
430	12416	1987
431	12440	1958
432	12462	1928
433	12484	1898
434	12506	1868
435	12529	1839
436	12551	1809
437	12574	1779
438	12596	1750
439	12618	1720
440	12641	1691
441	12663	1661
442	12685	1632
443	12708	1602
444	12730	1573
445	12752	1543
446	12774	1514
447	12796	1485
448	12819	1456
449	12841	1426
450	12863	1397
451	12885	1368
452	12907	1339
453	12931	1310
454	12953	1281
455	12976	1252
456	12998	1223
457	13020	1194
458	13046	1165
459	13068	1136
460	13099	1108
461	13122	1079
462	13144	1050
463	13166	1021
464	13188	992
465	13211	963
466	13233	935
467	13255	906
468	13277	877
469	13300	848
470	13317	819
471	13339	791
472	13361	762
473	13383	734
474	13405	705
475	13420	676
476	13438	647
477	13454	619
478	13472	590
479	13488	562
480	13507	533
481	13532	505
482	13547	476
483	13562	448
484	13577	419
485	13592	391
486	13606	363
487	13631	335
488	13644	306
489	13659	278
490	13676	250
491	13691	222
492	13707	194
493	13720	166
494	13729	138
495	13738	110
496	13748	82
497	13765	55
498	13774	27
499	13782	0
