iter	AUC	Logloss
380	0.6707368791	0.6512861867
381	0.6707691848	0.651251029
382	0.6708042026	0.6512153711
383	0.6708754599	0.6511687085
384	0.6708723605	0.6511301207
385	0.6709976792	0.6510861736
386	0.6710098386	0.6510483004
387	0.6710718274	0.6510167156
388	0.6711445451	0.6509872032
389	0.6711839139	0.6509686239
390	0.6712505519	0.6509385397
391	0.6712743044	0.6509034535
392	0.671300143	0.6508702966
393	0.6713751853	0.6508258492
394	0.6714652181	0.6507943359
395	0.6714963317	0.6507673959
396	0.671565026	0.650730023
397	0.6716130972	0.6507075849
398	0.6717491746	0.6506634948
399	0.6718245149	0.6506277655
400	0.6718372107	0.6505968953
401	0.6718535721	0.6505658821
402	0.6719909906	0.6505252936
403	0.6720189154	0.6505039988
404	0.6720530987	0.6504883494
405	0.6720918417	0.6504522627
406	0.6721138954	0.6504236792
407	0.6721990705	0.6503881641
408	0.6723616719	0.6503199925
409	0.6724664569	0.6502789037
410	0.6724793613	0.6502410305
411	0.6725584865	0.6502072305
412	0.6725969911	0.650181148
413	0.6726730168	0.6501357717
414	0.6727477908	0.6501058305
415	0.6727932692	0.6500781045
416	0.6728821397	0.6500443759
417	0.6729098558	0.6500058596
418	0.6730484366	0.6499361158
419	0.6730897427	0.6499010296
420	0.6731015444	0.6498723031
421	0.6731959879	0.6498338583
422	0.6732658148	0.649795342
423	0.6733801961	0.6497421052
424	0.6734945178	0.6496937276
425	0.6735711694	0.6496544968
426	0.673714757	0.6495810371
427	0.6737428308	0.6495515246
428	0.6737796068	0.6495126511
429	0.6738052964	0.6494900701
430	0.6738998294	0.6494539119
431	0.6739979386	0.649397388
432	0.674025774	0.6493672324
433	0.6740446389	0.6493387204
434	0.6740521789	0.6493095652
435	0.6740717888	0.6492747648
436	0.6741139293	0.6492469673
437	0.6741347909	0.6492183838
438	0.6742153168	0.6491679339
439	0.6742658019	0.6491420658
440	0.6742848158	0.6491050501
441	0.6743349433	0.6490624607
442	0.6743897498	0.6490281605
443	0.6745142341	0.6489774247
444	0.6745699346	0.6489359786
445	0.6745900512	0.6489091816
446	0.6746190786	0.6488830277
447	0.674731791	0.6488360078
448	0.6747977734	0.6488059951
449	0.674821198	0.6487881304
450	0.6748651862	0.6487435401
451	0.6748859286	0.6487061672
452	0.6749513745	0.6486632919
453	0.6749594212	0.6486367092
454	0.6750032008	0.6486131993
455	0.6750888228	0.648578113
456	0.6751792431	0.648541812
457	0.6752201617	0.6485166585
458	0.6752492785	0.6484807147
459	0.6752894521	0.6484583481
460	0.6753025055	0.6484320513
461	0.6754265726	0.6483778855
462	0.6754468381	0.6483593777
463	0.6754564643	0.6483346529
464	0.6755025387	0.6483009244
465	0.6755159497	0.6482768428
466	0.6755605936	0.6482422567
467	0.6755617261	0.6482146022
468	0.6756263375	0.6481785869
469	0.6756796837	0.6481449299
470	0.6756999493	0.6481189903
471	0.6757562757	0.648089978
472	0.6758009791	0.648062252
473	0.6758353114	0.6480375988
474	0.6758553088	0.6480162326
475	0.6758945584	0.6479881493
476	0.6759688258	0.6479372706
477	0.6759961843	0.6479053285
478	0.6760098338	0.6478758875
479	0.6760200858	0.647853378
480	0.676035285	0.6478272955
481	0.6760533452	0.6478047146
482	0.6761292815	0.6477729869
483	0.6761733294	0.6477557653
484	0.6762553453	0.6477275391
485	0.6762852073	0.6476963116
486	0.6763190925	0.6476668706
487	0.676415354	0.6476243526
488	0.6765482426	0.6475572528
489	0.6765933633	0.6475354579
490	0.6766348183	0.6475043733
491	0.6767285466	0.647466786
492	0.6768195629	0.6474174794
493	0.676825285	0.6473926117
494	0.6768654585	0.6473636709
495	0.6768752933	0.6473404468
496	0.6769419909	0.6473085762
497	0.6769580841	0.6472842802
498	0.6769715846	0.6472584121
499	0.6769803762	0.6472357597
4887
7
