date,close
2006-01-03,87.46327209472656
2006-01-04,87.87744903564453
2006-01-05,87.93267059326172
2006-01-06,88.66442108154297
2006-01-09,88.89221954345703
2006-01-10,88.98196411132812
2006-01-11,89.26504516601562
2006-01-12,88.91293334960938
2006-01-13,88.83008575439453
2006-01-17,88.58844757080078
2006-01-18,88.23643493652344
2006-01-19,88.57467651367188
2006-01-20,86.95933532714844
2006-01-23,87.27000427246094
2006-01-24,87.35971069335938
2006-01-25,87.43565368652344
2006-01-26,87.91888427734375
2006-01-27,88.73344421386719
2006-01-30,88.66442108154297
2006-01-31,88.0155258178711
2006-02-01,88.6299057006836
2006-02-02,87.601318359375
2006-02-03,87.16642761230469
2006-02-06,87.39424896240234
2006-02-07,86.62110900878906
2006-02-08,87.40802764892578
2006-02-09,87.26305389404297
2006-02-10,87.421875
2006-02-13,87.26305389404297
2006-02-14,88.1881103515625
2006-02-15,88.49872589111328
2006-02-16,89.16142272949219
2006-02-17,88.91984558105469
2006-02-21,88.69892120361328
2006-02-22,89.23737335205078
2006-02-23,89.10624694824219
2006-02-24,89.33401489257812
2006-02-27,89.36858367919922
2006-02-28,88.51944732666016
2006-03-01,89.3064193725586
2006-03-02,89.29949188232422
2006-03-03,88.88530731201172
2006-03-06,88.4780502319336
2006-03-07,88.3399658203125
2006-03-08,88.5263671875
2006-03-09,87.93267059326172
2006-03-10,88.76795959472656
2006-03-13,88.93363952636719
2006-03-14,89.86555480957031
2006-03-15,90.26598358154297
2006-03-16,90.45234680175781
2006-03-17,90.52787017822266
2006-03-20,90.38233184814453
2006-03-21,89.81401062011719
2006-03-22,90.36154174804688
2006-03-23,90.17440795898438
2006-03-24,90.24373626708984
2006-03-27,90.112060546875
2006-03-28,89.5575942993164
2006-03-29,90.11898040771484
2006-03-30,89.95960235595703
2006-03-31,89.9803695678711
2006-04-03,89.91104125976562
2006-04-04,90.48631286621094
2006-04-05,90.79818725585938
2006-04-06,90.70115661621094
2006-04-07,89.77938079833984
2006-04-10,89.91799926757812
2006-04-11,89.15563201904297
2006-04-12,89.32196044921875
2006-04-13,89.20413970947266
2006-04-17,89.16948699951172
2006-04-18,90.58333587646484
2006-04-19,90.75658416748047
2006-04-20,90.88135528564453
2006-04-21,90.89521026611328
2006-04-24,90.72887420654297
2006-04-25,90.35460662841797
2006-04-26,90.37543487548828
2006-04-27,90.81205749511719
2006-04-28,91.11699676513672
2006-05-01,90.37543487548828
2006-05-02,91.05459594726562
2006-05-03,90.71501159667969
2006-05-04,91.04077911376953
2006-05-05,91.84468841552734
2006-05-08,91.73379516601562
2006-05-09,91.91403198242188
2006-05-10,91.86547088623047
2006-05-11,90.75658416748047
2006-05-12,89.57149505615234
2006-05-15,89.75167083740234
2006-05-16,89.6199951171875
