symbol,n_days,coverage
TPR,1046,0.8301587301587302
ECL,1044,0.8285714285714286
CAG,1038,0.8238095238095238
KLAC,1021,0.8103174603174603
CNC,1020,0.8095238095238095
TIF,1011,0.8023809523809524
ROST,1003,0.796031746031746
VRSN,994,0.7888888888888889
DOV,989,0.7849206349206349
MYL,976,0.7746031746031746
TJX,972,0.7714285714285715
BKNG,970,0.7698412698412699
CNP,966,0.7666666666666667
DVA,964,0.765079365079365
FISV,958,0.7603174603174603
TTWO,956,0.7587301587301587
ETFC,944,0.7492063492063492
HBI,940,0.746031746031746
COTY,935,0.7420634920634921
IFF,935,0.7420634920634921
KSS,935,0.7420634920634921
FTV,930,0.7380952380952381
MHK,921,0.7309523809523809
ICE,916,0.726984126984127
FIS,915,0.7261904761904762
NLSN,902,0.7158730158730159
LKQ,901,0.7150793650793651
TWTR,900,0.7142857142857143
STT,895,0.7103174603174603
AEP,894,0.7095238095238096
QRVO,894,0.7095238095238096
CHRW,892,0.707936507936508
RF,892,0.707936507936508
APD,891,0.7071428571428572
NEE,891,0.7071428571428572
K,890,0.7063492063492064
NWL,887,0.703968253968254
PRU,887,0.703968253968254
AAP,886,0.7031746031746031
DHR,886,0.7031746031746031
FITB,886,0.7031746031746031
VMC,886,0.7031746031746031
PLD,884,0.7015873015873015
TMO,884,0.7015873015873015
AVY,883,0.7007936507936507
BXP,883,0.7007936507936507
BLL,882,0.7
FAST,882,0.7
A,881,0.6992063492063492
BWA,881,0.6992063492063492
CERN,880,0.6984126984126984
DGX,880,0.6984126984126984
TDG,880,0.6984126984126984
IDXX,878,0.6968253968253968
NCLH,877,0.696031746031746
ALB,876,0.6952380952380952
HOLX,876,0.6952380952380952
O,876,0.6952380952380952
PAYX,876,0.6952380952380952
PVH,876,0.6952380952380952
TXT,875,0.6944444444444444
CTAS,874,0.6936507936507936
CTL,873,0.6928571428571428
MLM,873,0.6928571428571428
HOG,872,0.692063492063492
PGR,872,0.692063492063492
FMC,871,0.6912698412698413
ORLY,870,0.6904761904761905
PCAR,870,0.6904761904761905
UHS,869,0.6896825396825397
GPN,868,0.6888888888888889
ZBH,867,0.6880952380952381
MCO,866,0.6873015873015873
SYK,866,0.6873015873015873
WRK,866,0.6873015873015873
INCY,865,0.6865079365079365
